iter	Passed	Remaining
0	22	22578
1	31	15861
2	42	14031
3	50	12593
4	60	12052
5	70	11665
6	79	11290
7	89	11067
8	97	10754
9	105	10456
10	112	10139
11	119	9845
12	126	9567
13	132	9338
14	138	9096
15	145	8971
16	153	8864
17	161	8832
18	168	8691
19	174	8540
20	180	8424
21	188	8362
22	196	8358
23	204	8334
24	212	8305
25	220	8266
26	227	8209
27	234	8135
28	240	8069
29	248	8036
30	256	8006
31	263	7967
32	270	7927
33	279	7929
34	287	7921
35	296	7928
36	304	7917
37	310	7858
38	317	7828
39	324	7780
40	330	7739
41	337	7703
42	343	7654
43	352	7649
44	358	7606
45	365	7581
46	371	7542
47	379	7523
48	386	7493
49	394	7501
50	402	7489
51	410	7475
52	416	7449
53	423	7416
54	429	7379
55	436	7360
56	442	7328
57	450	7315
58	457	7292
59	464	7278
60	471	7257
61	477	7225
62	484	7198
63	491	7183
64	497	7153
65	503	7127
66	510	7111
67	516	7080
68	523	7063
69	530	7053
70	538	7040
71	544	7018
72	550	6996
73	557	6979
74	563	6955
75	571	6947
76	579	6945
77	587	6940
78	594	6934
79	601	6920
80	610	6921
81	616	6905
82	623	6893
83	629	6867
84	637	6858
85	644	6848
86	650	6828
87	658	6824
88	665	6807
89	673	6806
90	687	6867
91	694	6851
92	701	6841
93	708	6828
94	714	6807
95	722	6800
96	729	6795
97	737	6783
98	745	6786
99	753	6778
100	761	6775
101	768	6768
102	776	6761
103	783	6749
104	790	6741
105	797	6727
106	805	6723
107	813	6716
108	821	6717
109	829	6714
110	836	6701
111	844	6693
112	851	6681
113	858	6669
114	864	6653
115	871	6640
116	879	6639
117	886	6625
118	892	6609
119	905	6639
120	936	6799
121	946	6809
122	959	6838
123	970	6858
124	978	6851
125	986	6843
126	995	6842
127	1004	6843
128	1014	6853
129	1026	6866
130	1037	6880
131	1047	6887
132	1064	6938
133	1077	6960
134	1089	6980
135	1100	6992
136	1111	7004
137	1124	7025
138	1133	7019
139	1141	7010
140	1149	7001
141	1159	7006
142	1170	7013
143	1181	7021
144	1191	7024
145	1199	7018
146	1209	7018
147	1218	7014
148	1227	7012
149	1236	7009
150	1246	7009
151	1256	7012
152	1265	7005
153	1274	7002
154	1281	6987
155	1289	6976
156	1296	6960
157	1303	6945
158	1309	6926
159	1316	6910
160	1322	6892
161	1329	6874
162	1335	6857
163	1342	6840
164	1349	6829
165	1357	6820
166	1363	6803
167	1371	6789
168	1377	6773
169	1385	6762
170	1397	6772
171	1404	6762
172	1412	6752
173	1420	6741
174	1428	6734
175	1454	6809
176	1461	6797
177	1469	6784
178	1476	6770
179	1481	6750
180	1489	6741
181	1497	6728
182	1503	6712
183	1510	6696
184	1517	6686
185	1524	6670
186	1530	6653
187	1536	6637
188	1543	6624
189	1550	6609
190	1557	6595
191	1563	6581
192	1570	6568
193	1578	6557
194	1585	6543
195	1591	6528
196	1599	6518
197	1605	6501
198	1611	6488
199	1619	6476
200	1626	6464
201	1635	6459
202	1641	6446
203	1648	6432
204	1655	6419
205	1661	6405
206	1668	6391
207	1675	6379
208	1682	6366
209	1688	6353
210	1697	6345
211	1704	6336
212	1715	6339
213	1723	6331
214	1734	6334
215	1743	6327
216	1750	6317
217	1760	6314
218	1768	6305
219	1777	6301
220	1785	6292
221	1794	6289
222	1803	6282
223	1811	6276
224	1821	6274
225	1832	6275
226	1841	6272
227	1849	6262
228	1859	6259
229	1868	6255
230	1878	6252
231	1886	6246
232	1895	6239
233	1904	6235
234	1915	6236
235	1923	6227
236	1935	6229
237	1944	6224
238	1953	6221
239	1966	6228
240	1977	6227
241	1985	6220
242	1995	6216
243	2003	6206
244	2011	6198
245	2019	6188
246	2028	6182
247	2039	6185
248	2052	6191
249	2064	6194
250	2076	6195
251	2086	6194
252	2098	6196
253	2111	6201
254	2123	6202
255	2133	6199
256	2143	6195
257	2151	6188
258	2159	6179
259	2167	6168
260	2174	6157
261	2182	6147
262	2191	6141
263	2199	6133
264	2207	6123
265	2216	6115
266	2225	6110
267	2233	6100
268	2243	6095
269	2304	6229
270	2331	6271
271	2339	6262
272	2347	6251
273	2362	6260
274	2375	6263
275	2384	6255
276	2393	6246
277	2402	6239
278	2410	6228
279	2417	6215
280	2423	6201
281	2431	6190
282	2439	6180
283	2447	6169
284	2454	6157
285	2464	6153
286	2473	6146
287	2481	6135
288	2488	6122
289	2497	6115
290	2509	6113
291	2517	6103
292	2524	6091
293	2532	6081
294	2540	6072
295	2550	6064
296	2558	6055
297	2565	6043
298	2572	6031
299	2579	6019
300	2586	6007
301	2593	5993
302	2599	5979
303	2607	5970
304	2613	5954
305	2619	5940
306	2625	5926
307	2632	5914
308	2638	5901
309	2646	5889
310	2653	5877
311	2660	5866
312	2668	5856
313	2677	5848
314	2684	5838
315	2695	5834
316	2706	5830
317	2714	5821
318	2721	5810
319	2730	5801
320	2736	5788
321	2742	5775
322	2748	5760
323	2754	5747
324	2763	5738
325	2771	5729
326	2776	5715
327	2783	5702
328	2789	5689
329	2795	5676
330	2802	5664
331	2810	5654
332	2820	5649
333	2828	5639
334	2834	5626
335	2840	5614
336	2847	5602
337	2853	5587
338	2859	5575
339	2867	5565
340	2874	5555
341	2881	5543
342	2888	5532
343	2895	5521
344	2901	5508
345	2908	5497
346	2915	5486
347	2921	5474
348	2928	5462
